Rank,Name,Analytical Cornerback Score (ACS),Coverage Snaps per Reception,QB Rating Against,Yards Allowed per Snap,Forced Incompletion Rate,Interceptions,Catch Rate Allowed,Missed Tackle Rate,Penalties per Snap,TDs Allowed per Snap,Coverage Snaps,Slot Coverage Snaps,Tackles
33,Stephon Gilmore,59.9,52,56.7,35.4,70.9,77.2,78.7,89.4,43.3,33.9,67.4,39.8,96.1
34,Mekhi Blackmon,59.6,61.4,59.1,74.8,95.7,52.4,51.2,99.2,96.5,52,20.5,58.6,55.9
35,Ronald Darby,58.5,65,85,66.1,82.3,18.5,92.5,77.2,89.8,81.1,29.4,74.6,29.1
36,Jaylon Jones,58.2,91.7,23.2,91.3,42.1,18.5,85.8,97.6,26.8,11,43.8,84,37.4
37,Trent McDuffie,58.1,70.1,48.8,70.1,29.1,18.5,53.1,66.9,70.1,68.5,82.7,3.9,68.1
38,Asante Samuel Jr.,57.8,65,45.7,43.3,81.1,77.2,44.1,28,78.7,52.8,75.4,56.3,94.5
39,Jaylon Jones,56.4,91.7,23.2,91.3,42.1,18.5,85.8,97.6,26.8,11,43.8,50,37.4
40,Jonathan Jones,56,78.3,66.1,66.9,72,18.5,75.2,83.1,90.6,85.8,35.5,40.6,50.8
41,A.J. Terrell,55.9,81.5,47.2,79.5,88.6,18.5,72.4,18.1,35.4,46.5,65.6,47.7,45.3
42,Denzel Ward,55.6,59.1,82.7,36.2,79.5,77.2,93.7,46.9,65.4,40.2,34.9,69.5,33.1
43,Levi Wallace,55.5,68.9,39.4,45.7,64.6,77.2,82.7,80.7,92.9,8.7,48.2,54.3,33.1
44,Antonio Hamilton Sr.,55.5,65,78,75.6,95.7,52.4,78.7,48,13.4,49.6,17.8,35.9,16.9
45,Xavien Howard,55.2,44.1,64.6,51.2,77.6,52.4,58.3,52.8,20.5,67.7,43.8,92.2,48
46,Kenny Moore II,54.4,21.7,44.5,55.1,6.3,89,7.1,64.6,56.7,44.9,62.9,2.3,86.6
47,Cam Taylor-Britt,54.4,78.3,94.5,23.6,40.9,94.1,89,36.6,32.3,59.8,35,43,62.6
48,Kyler Gordon,54.2,31.5,65.4,65.4,12.6,77.2,18.9,62.2,66.9,61.4,36.2,10.9,59.4
